PMID	PubDate	Species
30771739	2019 Apr	Mouse
30767746	2020	Mouse
30746895	2019 Apr	Mouse
30745310	2019 Apr	Mouse
30740905	2019 Jun	Mouse
30731321	2019 Mar 1	Mouse
30730609	2019 Aug	Mouse
30729704	2019 Apr	Mouse
30729487	2019	Mouse
30729479	2019	Mouse
30729471	2019	Mouse
30728776	2019	Mouse
30728500	2019 Feb	Mouse
30720093	2019 Apr	Mouse
30718510	2019 Feb 4	Mouse
30718470	2019 Jan 18	Mouse
30716535	2019 Jun	Mouse
30707846	2019 Dec	Mouse
30704288	2021 Jul	Mouse
30703868	2019 Feb 28	Mouse
30692016	2019 Mar 6	Mouse
30685700	2019 Apr	Mouse
30685487	2019 May	Mouse
30682804	2019 Jan 24	Mouse
30679644	2019 Jan 24	Mouse
30674985	2019 Jan 23	Mouse
30665716	2019 Feb 26	Mouse
30664999	2019 Mar 25	Mouse
30663676	2019 Jan 7	Mouse
30659184	2019 Jan 18	Mouse
30654932	2019 Feb 19	Mouse
30654118	2019 Apr	Mouse
30652828	2019 Jan 10	Mouse
30649473	2019 Jun 1	Mouse
30644575	2019 Mar	Mouse
30644168	2019 Mar	Mouse
30642012	2019 Jan 11	Mouse
30638309	2019 Jul	Mouse
30635602	2019 Jan 11	Mouse
30635030	2019 Jan 11	Mouse
30629676	2019	Mouse
30629441	2019 Feb 14	Mouse
30628591	2019 Feb 26	Mouse
30623241	2019 Apr	Mouse
30622281	2019 Jan 8	Mouse
30612118	2019 Mar	Mouse
30610922	2019 Apr	Mouse
30610061	2019 Mar	Mouse
30606217	2019 Jan 3	Mouse
30604480	2019 Mar	Mouse
30587175	2018 Dec 26	Mouse
30586667	2019 Feb	Mouse
30584213	2019 Jan 22	Mouse
30582743	2018 Dec 23	Mouse
30572121	2019 Mar	Mouse
30569118	2019 Feb	Mouse
30566959	2018	Mouse
30554495	2019 Jan	Mouse
30550885	2019 Feb 1	Mouse
30550637	2019 Feb	Mouse
30548602	2019 Aug	Mouse
30542413	2018 Dec	Mouse
30542285	2018	Mouse
30523147	2019 Jan 15	Mouse
30522383	2019 Feb	Mouse
30530994	2019 Mar 1	Mouse
30521964	2019 Jan	Mouse
30521117	2018 Dec	Mouse
30506914	2019 May	Mouse
30502449	2019 Mar	Mouse
30513362	2019 Mar	Mouse
30510442	2018	Mouse
30500068	2019 May	Mouse
30496783	2019 Mar 20	Mouse
30496623	2019 Apr	Mouse
30485272	2018	Mouse
30485126	2019 Mar	Mouse
30471420	2019 Jul	Mouse
30471381	2019 Feb	Mouse
30471358	2019 Feb	Mouse
30465058	2019 Jan	Mouse
30448827	2018	Mouse
30443190	2018	Mouse
30429089	2018 Dec	Mouse
30417459	2019 May	Mouse
30408629	2018 Dec	Mouse
30405206	2018 Nov 7	Mouse
30404032	2019 Feb	Mouse
30398288	2018 Nov 6	Mouse
30388100	2018	Mouse
30385786	2018 Nov 1	Mouse
31949599	2018	Mouse
30379418	2019 Apr	Mouse
30366509	2018 Oct	Mouse
30349873	2018 Apr 9	Mouse
30345823	2019 Jul	Mouse
30340603	2018 Oct 19	Mouse
30339839	2019 Jan	Mouse
30327434	2018 Dec 7	Mouse
30324848	2018	Mouse
30311846	2018 Oct	Mouse
30305454	2018 Oct 10	Mouse
30305302	2018 Oct 8	Mouse
30302948	2019 Apr	Mouse
30299441	2018 Nov 14	Mouse
30287858	2018 Oct 4	Mouse
30287418	2019 Jan	Mouse
30282957	2018 Oct 3	Mouse
30278915	2018 Nov	Mouse
30277570	2018 Nov	Mouse
30273917	2018 Dec	Mouse
30272322	2018 Dec	Mouse
30271853	2017 Dec	Mouse
30267404	2018 Dec	Mouse
30264402	2018 Oct	Mouse
30261507	2018	Mouse
30257711	2018 Sep 26	Mouse
30252968	2019 Feb	Mouse
30248505	2019 Jan	Mouse
30247799	2018 Dec	Mouse
30246031	2018	Mouse
30244259	2018 Sep 23	Mouse
30242147	2018 Sep 21	Mouse
30240938	2019 Jan	Mouse
30240153	2018 Dec	Mouse
30237578	2018 Sep 20	Mouse
30237492	2018 Sep 20	Mouse
30235245	2018	Mouse
30232451	2018 Oct	Mouse
30232322	2018 Sep 19	Mouse
30225954	2019 Mar	Mouse
30224931	2018	Mouse
30220231	2019 Nov	Mouse
30218608	2018 Sep 15	Mouse
30218055	2018 Sep 14	Mouse
30210898	2018	Mouse
30209244	2018 Sep 12	Mouse
30205482	2018 Sep 7	Mouse
30204915	2019 Jan 1	Mouse
30201491	2018 Dec	Mouse
30195046	2018 Dec	Mouse
30193893	2019 Apr	Mouse
30185988	2018 Oct	Mouse
30185781	2018 Sep 5	Mouse
30179205	2018 Sep 1	Mouse
30160278	2018 Sep 19	Mouse
30154423	2018 Aug 28	Mouse
30149233	2018 Nov	Mouse
30148052	2018	Mouse
30145831	2018 Dec	Mouse
30145794	2019 Mar	Mouse
30144364	2019 Apr	Mouse
30144298	2019 Feb	Mouse
30144066	2018 Jan	Mouse
30143643	2018 Aug 24	Mouse
30140293	2018	Mouse
30139714	2018 Aug	Mouse
30135182	2018 Oct 1	Mouse
30134310	2018 Nov 1	Mouse
30125727	2018 Nov	Mouse
30125096	2018 Sep 19	Mouse
30121673	2018	Mouse
30119244	2018 Oct	Mouse
30116335	2018 Aug	Mouse
30111653	2018 Sep 20	Mouse
30101191	2018 Aug	Mouse
30099277	2018 Nov	Mouse
30098273	2018 Oct	Mouse
30088034	2018 Oct	Mouse
30086379	2018 Nov	Mouse
30079380	2018	Mouse
30078186	2018 Jan	Mouse
30075737	2018 Aug 3	Mouse
30075312	2018 Oct	Mouse
30074264	2018 Nov	Mouse
30071308	2018 Oct 5	Mouse
30070692	2019 Feb	Mouse
30070297	2018 Aug 15	Mouse
30070147	2019 Feb	Mouse
30061164	2018 Nov	Mouse
30060740	2018 Jul 30	Mouse
30059491	2018 Jul 30	Mouse
30057417	2018 Dec	Mouse
30044894	2018 Nov	Mouse
30044827	2018	Mouse
30043596	2018 Jul 24	Mouse
30042178	2018 Aug 2	Mouse
30031925	2018 Nov	Mouse
30019597	2020 Jul	Mouse
30018076	2018 Aug 31	Mouse
30016600	2019 Jan	Mouse
30015238	2018 Sep	Mouse
30010080	2018 Nov	Mouse
29997113	2018 Oct	Mouse
29992982	2018 Jul 11	Mouse
29991473	2018 Oct	Mouse
29987897	2019 Jan	Mouse
29982662	2018 Oct 1	Mouse
29980577	2018 Nov	Mouse
29974310	2019 Feb	Mouse
29972184	2018 Jul 19	Mouse
29971011	2018	Mouse
29956284	2018	Mouse
29956271	2018	Mouse
29949791	2018	Mouse
29940267	2018 Sep	Mouse
29940143	2018 Sep 5	Mouse
29930022	2018 Nov 20	Mouse
29928576	2018 Jun	Mouse
29925506	2018 Sep	Mouse
29923670	2018 Jul 26	Mouse
29922443	2018 Mar	Mouse
29921656	2018 Jun 19	Mouse
29920476	2018 Jun 19	Mouse
29917178	2018 Jun	Mouse
29915560	2018	Mouse
29908959	2018 Sep	Mouse
29898959	2018 Jul 15	Mouse
29898872	2018 Jun	Mouse
29898378	2018 Sep 1	Mouse
29883943	2018 Sep	Mouse
29879379	2018 Nov	Mouse
29875586	2018 Apr-Jun	Mouse
29874688	2018 Jul	Mouse
29870552	2018	Mouse
29868252	2018	Mouse
29867945	2018	Mouse
29867478	2018	Mouse
29858052	2018 Jun 1	Mouse
29857156	2018 Aug	Mouse
29849491	2018	Mouse
29843768	2018 May 29	Mouse
29843156	2018	Mouse
29808705	2020 Jan	Mouse
29802156	2018 Aug 31	Mouse
29797602	2018 Sep	Mouse
29784003	2018 May 21	Mouse
29781506	2018 Nov	Mouse
29779621	2018 Jul	Mouse
29775231	2018 Sep	Mouse
29774080	2018	Mouse
29768985	2018 Jun	Mouse
29766025	2018 Jun 15	Mouse
29755657	2018 Apr 17	Mouse
29752100	2018 Aug 1	Mouse
29750304	2018 Jul	Mouse
29748647	2018 Jun	Mouse
29747748	2018 Apr 1	Mouse
29747385	2018 May 9	Mouse
29746861	2018 Jun 22	Mouse
29744983	2018 Aug	Mouse
29739985	2018 May 8	Mouse
29720262	2018 May 2	Mouse
29718273	2018 Jun 1	Mouse
29712620	2018 Apr 30	Mouse
29710511	2018 Jul	Mouse
29710506	2018 Jul	Mouse
29702220	2018 Jul	Mouse
29694646	2018	Mouse
29693122	2018 Jun	Mouse
29691435	2018 Apr 24	Mouse
29691281	2018 Jun 8	Mouse
29686224	2018 Apr 23	Mouse
29681797	2018	Mouse
29679904	2018 Jul	Mouse
29678719	2018 Jul 5	Mouse
29678417	2018 Jun 6	Mouse
29669931	2018 Apr 19	Mouse
29667227	2018 Sep	Mouse
29665134	2018 Sep	Mouse
29661110	2018 May-Aug	Mouse
29652075	2018 Apr 13	Mouse
29636687	2018	Mouse
29636082	2018 Apr 10	Mouse
29624738	2018 Sep	Mouse
29622035	2018 Apr 5	Mouse
29618773	2018 Apr 4	Mouse
29618652	2018 Apr 5	Mouse
29608013	2018 Apr 2	Mouse
29604337	2018 Jun	Mouse
29604191	2018 Sep	Mouse
29589441	2018 Apr 26	Mouse
29587623	2018 Jul	Mouse
29575932	2018	Mouse
29575548	2018 Jun	Mouse
29563338	2018 Mar 22	Mouse
29559252	2018 Jun	Mouse
29555825	2018 Jun	Mouse
29554973	2018 Mar 20	Mouse
29550827	2018	Mouse
29549054	2018 Jun	Mouse
29547721	2018 Mar 15	Mouse
29540857	2018 May	Mouse
29540697	2018 Mar 14	Mouse
29535518	2018	Mouse
29534535	2018 Mar 12	Mouse
29524442	2018 Apr 28	Mouse
29514675	2018 Mar 7	Mouse
29513553	2018 Apr	Mouse
29511435	2018	Mouse
29510478	2018 Mar 3	Mouse
29488175	2018 Mar	Mouse
29485196	2018 Jul	Mouse
29484338	2018 Mar 1	Mouse
29476740	2018 Mar 4	Mouse
29474860	2018 May 20	Mouse
29473075	2018 Mar 1	Mouse
29453795	2018 Feb 17	Mouse
29448248	2018	Mouse
29444976	2018 Feb 14	Mouse
29440889	2018	Mouse
29436471	2018 May	Mouse
29434766	2018 Feb	Mouse
29434299	2018 Feb 12	Mouse
29434267	2018 Feb 12	Mouse
29432995	2018 Apr	Mouse
29423330	2018	Mouse
29422077	2018 Feb 8	Mouse
29417902	2018 Apr	Mouse
29415892	2018 Feb 8	Mouse
29413962	2018 May	Mouse
29412694	2018 Mar	Mouse
29402405	2018 Feb 2	Mouse
29391276	2018 Apr	Mouse
29379010	2018 Jan 29	Mouse
29377313	2018 Jun	Mouse
29373806	2018 Mar	Mouse
29373032	2018 Mar 2	Mouse
29366446	2018 Apr	Mouse
29343182	2018 Jul	Mouse
29329496	2018 May	Mouse
29327460	2018 Feb	Mouse
29323710	2018 Aug	Mouse
29323204	2018 Jan 11	Mouse
29323130	2018 Jan 11	Mouse
29319178	2018 Sep	Mouse
29317792	2017	Mouse
29317453	2018 Mar 22	Mouse
29314205	2018 May	Mouse
29313174	2018 Oct	Mouse
29311146	2018 Mar	Mouse
29310791	2018	Mouse
29309831	2018 Apr	Mouse
29308811	2018 Jan 25	Mouse
29305974	2018 Mar 10	Mouse
29301300	2018 Jan 2	Mouse
29299344	2017	Mouse
32309598	2017 Dec 31	Mouse
29286152	2018 Mar	Mouse
29258611	2017 Dec 19	Mouse
29255152	2017 Dec 18	Mouse
29250157	2018 Jan	Mouse
29250145	2017 Dec	Mouse
29247798	2018 Feb 20	Mouse
29247173	2017 Dec 15	Mouse
29247144	2018 Jan 17	Mouse
29245931	2017 Nov 21	Mouse
29233086	2017 Dec 12	Mouse
29230102	2017	Mouse
29228600	2017 Nov 14	Mouse
29219023	2018 Jan	Mouse
29215722	2018 Jul	Mouse
29208566	2018 Jan	Mouse
29196708	2017 Dec 1	Mouse
29196459	2018 Jan 15	Mouse
29192123	2018 Feb	Mouse
29191088	2018 Apr	Mouse
29183039	2017	Mouse
29176667	2017 Nov 24	Mouse
29168867	2018 Jan 24	Mouse
29161460	2018 Feb	Mouse
29157984	2018 Jan 5	Mouse
29155252	2018 Apr	Mouse
29145712	2018 Mar	Mouse
29145453	2017	Mouse
29133260	2018 Jan 1	Mouse
29126427	2017 Nov 10	Mouse
29111592	2018 Mar	Mouse
29103324	2018 Dec	Mouse
29100502	2017 Nov 3	Mouse
29097208	2018 Jan 1	Mouse
29094382	2018 Feb	Mouse
29088666	2017 Oct	Mouse
31966426	2017	Mouse
29074299	2018 Jan	Mouse
29074298	2018 Jan	Mouse
29073363	2018 Mar	Mouse
29072283	2017 Oct 24	Mouse
29070587	2018 Feb	Mouse
29068480	2018 May	Mouse
29061494	2018 Jan	Mouse
29058776	2018 Feb	Mouse
29057471	2018 Sep	Mouse
29055957	2017	Mouse
29049670	2018 Jan 1	Mouse
29040066	2017 Nov 27	Mouse
29039501	2017 Dec	Mouse
29039445	2017 Dec	Mouse
29035380	2018 Jan	Mouse
29033951	2017	Mouse
29030641	2017 Oct 13	Mouse
29028430	2017 Oct	Mouse
29026147	2017 Oct 12	Mouse
29024567	2018 Feb	Mouse
28992367	2018 Jan	Mouse
28981117	2017 Oct 5	Mouse
28977876	2017 Sep 22	Mouse
28969686	2017 Sep 29	Mouse
28963813	2017 Dec	Mouse
28955486	2017	Mouse
28949389	2017 Nov	Mouse
28944864	2017 Nov	Mouse
28943207	2017 Nov 25	Mouse
28942223	2017 Nov	Mouse
28941045	2017 Dec	Mouse
28933476	2017 Nov 15	Mouse
28928664	2017	Mouse
28919430	2017 Dec	Mouse
28919376	2017 Dec 6	Mouse
28898438	2018 Feb	Mouse
28893232	2017 Sep 11	Mouse
28886316	2017 Aug 30	Mouse
28884332	2017 Dec	Mouse
28882752	2017 Dec	Mouse
28877431	2017 Oct 24	Mouse
28849222	2017 Oct	Mouse
28844955	2017 Dec	Mouse
28844566	2018 Jan	Mouse
28835277	2017 Aug 23	Mouse
28829242	2017 Sep	Mouse
28813497	2017	Mouse
28811491	2017 Aug 15	Mouse
28807034	2017 Aug 14	Mouse
28803211	2017 Oct	Mouse
28802150	2017 Oct	Mouse
28801209	2017 Nov	Mouse
28782172	2018 Jan	Mouse
28778596	2017 Oct	Mouse
28769981	2017	Mouse
28767178	2018 Mar	Mouse
28765925	2017 Sep	Mouse
28765635	2017 Aug 1	Mouse
28765519	2017 Aug 2	Mouse
28764769	2017 Aug 2	Mouse
28760350	2017 Nov	Mouse
28759313	2017 Dec	Mouse
28757192	2017 Oct 15	Mouse
28751919	2017	Mouse
28736799	2017 Aug	Mouse
28735352	2017 Nov	Mouse
28735299	2017 Oct	Mouse
28735021	2017 Nov	Mouse
28732855	2017 Oct 1	Mouse
28729639	2017 Jul 21	Mouse
28716756	2017 Nov	Mouse
28715494	2017	Mouse
28705238	2017 Jul 14	Mouse
28695367	2017 Oct	Mouse
28694081	2017 Oct	Mouse
28688538	2017 Jul 26	Mouse
28684418	2017 Sep 1	Mouse
28684192	2017 Oct	Mouse
28684076	2017 Aug	Mouse
28678406	2017 Oct	Mouse
28677757	2017 Sep	Mouse
28677145	2017 Nov	Mouse
28676845	2017	Mouse
28674255	2017	Mouse
28671685	2017 Aug	Mouse
28670109	2017	Mouse
28669597	2017 Jul	Mouse
28668542	2017 Oct	Mouse
28666466	2017 Jun 30	Mouse
28666239	2017 Sep	Mouse
28659793	2017	Mouse
28648299	2017 Jun	Mouse
28647370	2017 Aug 26	Mouse
28646530	2018 Jan	Mouse
28643904	2017 Jun	Mouse
28643466	2017 Dec	Mouse
28638676	2017	Mouse
28627522	2017 Jun 19	Mouse
28622746	2017 Jul	Mouse
28620193	2017 Jun 15	Mouse
28614801	2017 Jun 15	Mouse
28611369	2017 Jun 13	Mouse
28593930	2017 Nov 27	Mouse
28583899	2017 Sep	Mouse
28579418	2017 Sep	Mouse
28548102	2017 May 26	Mouse
28545881	2017 Sep	Mouse
28545594	2017 May 25	Mouse
28544596	2017 Sep	Mouse
28544542	2017 Sep	Mouse
28542404	2017	Mouse
28539595	2017 May 24	Mouse
28535500	2017	Mouse
28532603	2017 Sep	Mouse
28520086	2018 Jan	Mouse
28514714	2017 Jul	Mouse
28513981	2018 Jan	Mouse
28500074	2017 Jun 15	Mouse
28495577	2017 Jul 28	Mouse
28492224	2017 May 11	Mouse
28482921	2017 May 8	Mouse
28471533	2017 Dec	Mouse
28464560	2017 Aug	Mouse
28457885	2017 May 9	Mouse
28437887	2017 Jun	Mouse
28437129	2017 Jun 2	Mouse
28436958	2017 Jun	Mouse
28435151	2017 Jun	Mouse
28427172	2017 May 2	Mouse
28426699	2017	Mouse
28420447	2017 Apr 18	Mouse
28419987	2017	Mouse
28410428	2017	Mouse
28409895	2017 Jul	Mouse
28409828	2017 Oct	Mouse
28407495	2017 Jul	Mouse
28406954	2017	Mouse
28405000	2017 Jun	Mouse
28389425	2017 Jul	Mouse
28384173	2017	Mouse
28383548	2017 Apr 6	Mouse
28380690	2017 Jul	Mouse
28374574	2017 Sep	Mouse
28366649	2017 Jun 15	Mouse
28358372	2017 Mar 30	Mouse
28349987	2017 Mar 28	Mouse
28348422	2017 Feb 14	Mouse
28345597	2017 Mar 27	Mouse
28334504	2017 Jul	Mouse
28334010	2017	Mouse
28332497	2017 Mar 23	Mouse
28323137	2017 Jul	Mouse
28317846	2017 Mar 20	Mouse
28314754	2017 Jul	Mouse
28303909	2017 Mar 17	Mouse
28301858	2017 Apr	Mouse
28279188	2017 Mar 9	Mouse
28259960	2017 Apr	Mouse
28254683	2017 May	Mouse
28252046	2017 Mar 2	Mouse
28252005	2017 Mar 2	Mouse
28250578	2017	Mouse
28242648	2017 Apr 1	Mouse
28239846	2017 May	Mouse
28225087	2017 Feb 22	Mouse
28220902	2017 Feb 21	Mouse
28214840	2017	Mouse
28213268	2017 Apr	Mouse
28202914	2017 Mar	Mouse
28194447	2017 Feb 9	Mouse
28189827	2017 Jun	Mouse
28185846	2017 Jul	Mouse
28181577	2017 Feb 9	Mouse
28168658	2017 Jun	Mouse
28165497	2017 Feb 6	Mouse
28164729	2017 Dec	Mouse
28141918	2017 Jun	Mouse
28139355	2017 Mar 1	Mouse
28128866	2017 May	Mouse
28122611	2017 Jan 25	Mouse
28120109	2017 May	Mouse
28109308	2017 Jan 21	Mouse
28108560	2017 Mar 1	Mouse
28106517	2017 Mar	Mouse
28104539	2017 May	Mouse
28097228	2017 Jan 12	Mouse
28086000	2017 Jun	Mouse
28071693	2017 Jan 10	Mouse
28070636	2017 Apr	Mouse
28070626	2017 Apr	Mouse
28064223	2017 Jan 2	Mouse
28063227	2017 Dec	Mouse
28063212	2017 Nov	Mouse
28043938	2017 Jun	Mouse
28030474	2017 May	Mouse
28005443	2017 May-Jul	Mouse
27965322	2017 Mar	Mouse
27965260	2017 May	Mouse
27941690	2016 Dec 9	Mouse
27941314	2016	Mouse
27935109	2017 Sep	Mouse
27932245	2017 Jan 22	Mouse
27926509	2017 Jan 10	Mouse
27918314	2017 Mar	Mouse
27916560	2017 May	Mouse
27911782	2016 Dec 13	Mouse
27903449	2017 Apr	Mouse
27902701	2016 Nov	Mouse
27882938	2016 Nov 24	Mouse
27878995	2017 Sep	Mouse
27863298	2017 Jan	Mouse
27856294	2017 Jun	Mouse
27855162	2016 Nov	Mouse
27853940	2017 Nov	Mouse
27851983	2017 Feb	Mouse
27845876	2017 Apr 1	Mouse
27840128	2017 May	Mouse
27836674	2017 Apr	Mouse
27830706	2016 Nov 10	Mouse
27829535	2017 Feb	Mouse
27816790	2017 Jan	Mouse
27746376	2017 Mar	Mouse
27808352	2017 Jul	Mouse
27805288	2017 Sep	Mouse
27789465	2017 Apr	Mouse
27792866	2017 Mar	Mouse
27640147	2016 Nov	Mouse
27784871	2016	Mouse
27693501	2017 Feb	Mouse
27780308	2017 Mar	Mouse
27778194	2017 Jan	Mouse
27688095	2016 Oct	Mouse
27720885	2017 Mar	Mouse
27663233	2017 Jan	Mouse
27769098	2017 Aug	Mouse
27768832	2017 Mar	Mouse
27766035	2016	Mouse
27766031	2016	Mouse
27368432	2016 Oct	Mouse
27758860	2016 Nov 11	Mouse
27752896	2016 Oct	Mouse
27737897	2017 Jan	Mouse
27732085	2016 Dec	Mouse
27729913	2016	Mouse
27727159	2016 Oct 11	Mouse
27716396	2016 Oct 4	Mouse
27716333	2016 Oct 3	Mouse
27696748	2018 Jan	Mouse
27689003	2016 Oct	Mouse
27688845	2016 Oct	Mouse
27688842	2016 Oct	Mouse
27682878	2016 Nov 8	Mouse
27666725	2017 Feb	Mouse
27664978	2017 Mar	Mouse
27664939	2017 Aug	Mouse
27654963	2017 Mar	Mouse
27646532	2017 May	Mouse
27640363	2016 Sep 19	Mouse
27635406	2016	Mouse
27627706	2016 Dec	Mouse
27624384	2017 Sep	Mouse
27621213	2017 Mar	Mouse
27611831	2016	Mouse
27601064	2016 Oct	Mouse
27601010	2017 Aug	Mouse
27591401	2017 Mar	Mouse
27587077	2017 Jan	Mouse
27584727	2016	Mouse
27579819	2016	Mouse
27574462	2016	Mouse
27568574	2017 Jan	Mouse
27567942	2017 Apr	Mouse
27567476	2016 Aug	Mouse
27564840	2017 Feb	Mouse
27563877	2016 Aug 23	Mouse
27550416	2016 Aug 23	Mouse
27549172	2016 Oct 1	Mouse
27548066	2016	Mouse
27543413	2016 Nov	Mouse
27541035	2016 Oct	Mouse
27539752	2016 Aug 19	Mouse
27516624	2017 Jun 1	Mouse
27515912	2016 Aug 11	Mouse
27515513	2016 Oct	Mouse
27514996	2017 Jan	Mouse
27509914	2016 Oct	Mouse
27505251	2016	Mouse
27500994	2017 Mar	Mouse
27499126	2016 Aug	Mouse
27483347	2016 Oct 1	Mouse
27480933	2017 Mar	Mouse
27477830	2017 Mar	Mouse
27473558	2016 Dec	Mouse
27463229	2017 May	Mouse
27459679	2016 Aug 24	Mouse
27457421	2016 Jul 26	Mouse
27447821	2016 Oct	Mouse
27427985	2016 Aug 1	Mouse
27415616	2016	Mouse
27416075	2017 May	Mouse
27412524	2016 Jul 13	Mouse
27391970	2016	Mouse
27390029	2016 Dec	Mouse
27388701	2016 Jul 8	Mouse
27388238	2016 Sep	Mouse
27377816	2017 Feb	Mouse
27367673	2016 Jun 28	Mouse
27365987	2016 Jul-Sep	Mouse
27356303	2016 Oct 10	Mouse
27346544	2016 Jun 27	Mouse
27322244	2016 Jun 16	Mouse
27315306	2016 Aug	Mouse
27280771	2016	Mouse
27275015	2016 May 19	Mouse
27271273	2018 May	Mouse
27270603	2016	Mouse
27260322	2016 Jun 3	Mouse
27256712	2016 Jul	Mouse
27245323	2016 May 31	Mouse
27238423	2017 Apr	Mouse
27236646	2016 Sep	Mouse
27236261	2017 Jan	Mouse
27234527	2016 Oct	Mouse
27214709	2016 May 16	Mouse
27211864	2016 Oct	Mouse
27211863	2016 Oct	Mouse
27194025	2016 May 18	Mouse
27183574	2016 Jun 15	Mouse
27183538	2016 Oct	Mouse
27165180	2017 Jan	Mouse
27163789	2016	Mouse
27159257	2016 Aug	Mouse
27159076	2016 Oct	Mouse
27153222	2017 Feb	Mouse
27147711	2017 Jan	Mouse
27147707	2017 Feb	Mouse
27147295	2017 Jun	Mouse
27129293	2016 Jun	Mouse
27123995	2016	Mouse
27122313	2016 May 10	Mouse
27118398	2016 Sep	Mouse
27118120	2016 Jul	Mouse
27104565	2016 Apr 20	Mouse
27099487	2016	Mouse
27088242	2017 Mar	Mouse
27087498	2016 Apr 18	Mouse
27086115	2016 Jun 14	Mouse
27077804	2016 Apr 14	Mouse
27075702	2016 Jul	Mouse
27070563	2016 Apr 8	Mouse
27066786	2016 Oct	Mouse
27041213	2016 Apr 4	Mouse
27041063	2016 Apr 4	Mouse
27040636	2016	Mouse
27036883	2016 Mar 31	Mouse
27031945	2017 Mar	Mouse
27031305	2016 Jul	Mouse
27030100	2016 Mar 31	Mouse
27018594	2016 May 2	Mouse
27009967	2016 Mar 24	Mouse
26994554	2016 Nov	Mouse
26991527	2016 Sep	Mouse
26983696	2016 Mar 17	Mouse
26963384	2016	Mouse
26945456	2016 May	Mouse
26944403	2016 Mar 5	Mouse
26932821	2016 Mar 1	Mouse
26910618	2016 Jun	Mouse
30258877	2016 Mar	Mouse
26903440	2016 Nov	Mouse
26903297	2016 Mar 25	Mouse
26903200	2016 Jul	Mouse
26901593	2016 Oct	Mouse
26901193	2016 Feb 18	Mouse
26896926	2016 Apr	Mouse
26896841	2016 Nov	Mouse
26890138	2016 Feb 18	Mouse
26866626	2016 Aug	Mouse
26860366	2016 Feb 10	Mouse
26853752	2016 Jul	Mouse
26853108	2016 Feb 8	Mouse
26852666	2016 May	Mouse
26851274	2016 Nov	Mouse
26838881	2016 Apr 1	Mouse
26837060	2016 Jul	Mouse
26830207	2016 Mar	Mouse
26826014	2016 Oct	Mouse
26815610	2016	Mouse
26815411	2016 Jul	Mouse
26806292	2016 Mar	Mouse
26797130	2016 Mar 25	Mouse
26794862	2016 Feb	Mouse
26794830	2016 Jan 21	Mouse
26794603	2016 Mar 4	Mouse
26784366	2016 Mar 4	Mouse
26783110	2016 Dec	Mouse
26774733	2016 May	Mouse
26746673	2016 Jan 8	Mouse
26746150	2016 Jun	Mouse
26746148	2016 Jun	Mouse
26741062	2016 Mar	Mouse
26728350	2016 Jan 5	Mouse
26722492	2015	Mouse
26721735	2016 Mar	Mouse
26714479	2015 Dec 18	Mouse
26713680	2016 Mar	Mouse
26713606	2016 Jun	Mouse
26712566	2016 Feb 17	Mouse
26707987	2016 Jan	Mouse
26703223	2015 Dec 25	Mouse
26698846	2016 Nov	Mouse
26697956	2016 Jul	Mouse
26687826	2016 May	Mouse
26687825	2016 May	Mouse
26687824	2016 May	Mouse
26687115	2016 May	Mouse
26686833	2016 Jul	Mouse
26683663	2016 Feb	Mouse
26674424	2015 Dec 18	Mouse
26673737	2015 Jun	Mouse
26663140	2016 May	Mouse
26657859	2016 Jan	Mouse
26655743	2016 Jan	Mouse
26642431	2015 Dec 4	Mouse
26639398	2015 Dec 7	Mouse
26636652	2016 Apr	Mouse
26634249	2015 Dec 4	Mouse
26625129	2016 Feb	Mouse
26617711	2015	Mouse
26608362	2016 Feb	Mouse
26605758	2016 Apr	Mouse
26605536	2016 Apr	Mouse
26604215	2016 Mar	Mouse
26596790	2016 Apr	Mouse
26585241	2016 Apr	Mouse
26584570	2015 Nov 20	Mouse
26578310	2015 Nov 17	Mouse
26573409	2016 Jan	Mouse
26563344	2015 Nov 13	Mouse
26562438	2015	Mouse
26560184	2016 Jan	Mouse
26550169	2015	Mouse
26546411	2015 Nov 7	Mouse
26531672	2015 Nov 4	Mouse
26530111	2015 Nov 4	Mouse
26525853	2015 Nov 27	Mouse
26522700	2016 Apr	Mouse
26521748	2015 Nov	Mouse
26521744	2015 Nov	Mouse
26521733	2015 Nov	Mouse
26507256	2016 Mar	Mouse
26499313	2015 Dec	Mouse
26496825	2015 Dec	Mouse
26493329	2016 Mar	Mouse
26492575	2015	Mouse
26473405	2016 Feb	Mouse
26470720	2016 Sep	Mouse
26458773	2015 Oct 13	Mouse
26438631	2016 Feb	Mouse
26438374	2016 Mar	Mouse
26424839	2016 Mar	Mouse
26424216	2015 Dec	Mouse
26410555	2016 Feb	Mouse
26408027	2015 Sep 26	Mouse
26406452	2015 Dec	Mouse
26405834	2016 Apr	Mouse
26403062	2016 Mar	Mouse
26400621	2016 Jan	Mouse
26377571	2015 Nov	Mouse
26362410	2016 Feb	Mouse
26362183	2015 Oct 23	Mouse
26361381	2016 Jan	Mouse
26360647	2016 Jan	Mouse
26355014	2015 Nov	Mouse
26350038	2015 Nov	Mouse
26340084	2016 Mar	Mouse
26315393	2016 Jan	Mouse
26290588	2016 Jun	Mouse
26285672	2016 Jun	Mouse
26279273	2015 Aug 17	Mouse
26272361	2015 Oct	Mouse
26271607	2015 Aug 14	Mouse
26257191	2015 Nov	Mouse
26256767	2016 Jan	Mouse
